apartment_id,building_age_years,wing,entrance,floor,apartment_area_m2,ceiling_height_m,window_quality,heating_type,corner_apartment,room_temp_c,window_ventilation_per_day,humidity_pct,radiator_distance_m,children_count,cat_present,robot_vacuum,tree_species,tree_height_cm,tree_form,stand_type,cut_days_before_jan1,potted_tree,waterings_per_week,mist_spray,tinsel_level,ornaments_weight_kg,led_garland,garland_hours_per_day,survived_to_18jan
apt_train_000038,27,east,1,1,22.0,2.6,old,central,1,23.8,3,,1.64,0,0,0,spruce,188,normal,water_reservoir,16,0,5.0,1,medium,1.6,1,14.3,1
apt_train_000039,27,south,2,20,99.4,2.62,old,electric_heater,0,21.6,1,31.0,0.95,2,0,0,fir,110,dense,simple_stand,14,0,,0,medium,2.16,1,6.1,0
apt_train_000040,27,north,4,12,75.2,2.63,new,electric_heater,0,22.0,1,41.0,2.62,0,0,0,spruce,194,sparse,simple_stand,5,0,4.0,1,high,2.12,1,6.9,0
apt_train_000041,27,east,2,18,105.1,2.61,normal,central,0,21.8,1,38.0,0.95,1,1,1,spruce,183,dense,simple_stand,7,0,2.0,0,low,0.87,1,8.1,0
apt_train_000042,27,west,6,20,82.8,2.59,new,central,1,21.3,2,45.0,1.74,2,0,0,fir,179,normal,simple_stand,7,0,1.0,1,low,2.72,1,,1
apt_train_000043,27,east,4,29,39.1,2.54,normal,central,0,21.8,3,43.0,1.23,0,0,0,pine,153,sparse,simple_stand,8,0,5.0,0,medium,4.35,1,,0
apt_train_000044,27,south,12,28,54.6,2.74,old,central,1,26.3,2,40.0,0.61,0,1,0,pine,181,normal,simple_stand,4,0,5.0,1,high,3.73,1,5.1,0
apt_train_000045,27,west,7,4,86.8,,new,central,0,20.6,5,32.0,0.25,1,0,1,spruce,192,normal,simple_stand,4,0,5.0,1,medium,3.23,1,10.1,0
apt_train_000046,27,east,7,11,18.0,2.65,normal,electric_heater,1,22.9,5,18.0,1.14,3,1,0,spruce,186,dense,simple_stand,9,0,0.0,1,high,1.84,1,5.3,0
apt_train_000047,27,east,3,8,54.2,2.49,normal,electric_heater,1,23.2,2,35.0,1.75,0,0,0,spruce,181,normal,simple_stand,7,0,7.0,0,medium,0.95,1,7.8,0
apt_train_000048,27,west,7,27,48.4,2.77,new,central,0,20.8,1,51.0,0.8,1,0,1,spruce,123,dense,unknown,11,0,4.0,1,medium,1.46,0,4.6,0
apt_train_000049,27,north,1,25,77.7,2.8,normal,central,0,25.3,0,40.0,0.75,0,0,0,spruce,221,normal,water_reservoir,3,0,4.0,0,medium,1.35,1,10.5,1
apt_train_000050,27,west,1,24,69.6,2.97,new,central,0,19.8,1,,0.45,1,1,1,fir,92,dense,simple_stand,9,0,0.0,0,low,2.87,1,10.3,0
apt_train_000051,27,east,8,29,32.8,2.6,normal,central,1,22.3,1,30.0,0.25,1,0,1,fir,190,normal,bucket,12,0,2.0,0,low,3.03,1,8.0,1
apt_train_000052,27,west,11,29,58.5,2.62,normal,central,0,24.5,0,42.0,1.62,2,0,0,spruce,159,normal,water_reservoir,14,0,4.0,0,medium,3.38,1,,0
apt_train_000053,27,north,3,15,75.0,2.91,normal,central,1,20.7,3,58.0,0.37,0,0,0,fir,207,normal,simple_stand,3,0,5.0,1,medium,2.06,1,7.4,1
apt_train_000054,27,west,4,22,45.2,2.74,normal,central,0,23.5,2,52.0,,1,0,0,fir,162,dense,simple_stand,10,0,4.0,0,medium,1.49,1,13.1,0
apt_train_000055,27,north,4,2,58.3,2.64,new,electric_heater,0,22.2,0,41.0,1.8,1,0,0,spruce,163,normal,simple_stand,3,0,,1,medium,,1,7.3,1
apt_train_000056,27,north,3,28,42.5,2.63,old,central,1,22.5,7,54.0,0.15,0,1,0,spruce,205,normal,unknown,9,0,6.0,1,medium,0.82,1,5.6,1
apt_train_000057,27,west,12,30,58.4,2.72,normal,central,1,23.9,1,47.0,,0,0,0,spruce,152,normal,simple_stand,15,0,1.0,1,medium,1.59,1,0.4,0
apt_train_000058,27,west,1,11,56.3,2.6,old,central,0,22.9,1,37.0,0.6,1,0,1,spruce,173,sparse,simple_stand,6,0,3.0,0,high,4.46,0,14.3,0
apt_train_000059,27,west,4,23,49.8,2.72,new,central,0,24.5,2,51.0,0.21,0,1,1,pine,184,normal,water_reservoir,9,0,7.0,0,medium,1.96,1,12.8,0
apt_train_000060,27,south,6,11,69.4,2.6,new,central,1,24.7,2,45.0,0.44,0,0,0,spruce,176,normal,simple_stand,13,0,0.0,0,medium,3.36,1,11.7,1
apt_train_000061,27,south,5,29,53.4,2.68,normal,central,0,24.6,0,50.0,0.84,0,0,0,spruce,223,dense,bucket,12,0,6.0,0,medium,2.22,1,8.3,1
apt_train_000062,27,north,3,10,61.1,2.73,normal,central,1,19.9,2,46.0,0.8,2,1,0,spruce,215,normal,simple_stand,10,0,0.0,0,low,1.99,1,12.5,0
apt_train_000063,27,east,4,22,76.0,2.69,normal,central,0,22.8,1,,2.27,1,0,0,fir,178,dense,water_reservoir,14,0,8.0,0,medium,2.73,1,,1
apt_train_000064,27,east,1,1,18.0,2.78,normal,central,1,22.7,1,,1.63,0,0,0,pine,152,dense,simple_stand,8,0,4.0,0,low,,0,11.7,1
apt_train_000065,27,west,3,18,51.5,2.55,new,central,1,22.2,3,27.0,1.76,0,1,1,spruce,152,dense,simple_stand,5,0,2.0,0,high,3.6,1,10.1,0
apt_train_000066,27,south,1,21,88.3,2.88,new,central,0,20.7,2,54.0,0.46,1,0,0,pine,205,normal,water_reservoir,15,0,3.0,0,medium,3.01,0,7.5,0
apt_train_000067,27,north,1,11,34.6,2.64,normal,central,1,22.7,3,,0.64,0,0,0,spruce,170,dense,bucket,6,0,2.0,0,low,0.97,1,17.7,0
apt_train_000068,27,east,2,26,59.0,2.61,new,central,0,22.6,1,40.0,0.68,0,0,1,spruce,206,normal,water_reservoir,11,0,4.0,0,high,3.36,0,2.7,0
apt_train_000069,27,west,12,24,37.0,2.69,old,central,1,20.9,2,71.0,0.17,0,0,0,spruce,172,normal,bucket,10,0,2.0,0,medium,0.18,1,8.8,1
apt_train_000070,27,west,3,21,71.3,2.84,new,central,1,18.0,1,48.0,0.95,2,0,0,spruce,220,normal,water_reservoir,7,0,5.0,0,medium,1.71,1,6.4,0
apt_train_000071,27,north,9,8,72.8,2.83,new,central,1,21.5,5,56.0,1.26,2,1,0,fir,190,normal,unknown,8,0,5.0,1,high,3.14,1,4.4,1
apt_train_000072,27,south,11,17,50.0,2.84,new,central,0,23.4,1,46.0,1.19,1,0,0,fir,217,dense,bucket,4,0,5.0,0,medium,3.19,1,7.9,1
apt_train_000073,27,west,9,21,79.1,2.66,normal,central,1,22.6,2,48.0,1.9,0,0,0,spruce,187,dense,bucket,0,0,6.0,0,high,4.12,1,0.9,1
apt_train_000074,27,south,2,1,54.2,2.84,new,central,0,22.0,1,31.0,1.17,0,0,0,pine,255,normal,water_reservoir,6,0,8.0,1,high,2.82,0,9.1,1
apt_train_000075,27,east,10,18,90.6,2.71,normal,electric_heater,0,21.0,1,31.0,2.53,0,1,1,spruce,139,dense,water_reservoir,10,0,5.0,1,low,2.58,0,0.0,1
apt_train_000076,27,north,6,25,37.2,2.88,old,central,1,22.8,2,46.0,3.01,0,0,0,spruce,158,sparse,water_reservoir,4,0,5.0,1,low,3.41,1,7.2,1
apt_train_000077,27,east,10,6,53.8,2.92,normal,central,0,25.9,0,34.0,0.25,1,0,0,spruce,172,dense,simple_stand,13,0,2.0,0,high,3.52,1,5.5,0
apt_train_000078,27,west,12,30,18.0,2.64,old,central,1,24.2,3,44.0,1.84,1,0,0,spruce,155,normal,water_reservoir,0,1,4.0,0,medium,2.72,0,5.6,1
apt_train_000079,27,west,5,2,61.1,2.71,normal,central,0,24.7,4,37.0,0.95,2,1,1,spruce,167,dense,water_reservoir,0,0,6.0,1,medium,2.65,1,4.4,1
apt_train_000080,27,west,11,4,31.6,2.64,new,central,1,22.1,2,39.0,2.01,4,0,1,spruce,142,normal,water_reservoir,7,0,8.0,0,medium,1.47,0,0.0,1
apt_train_000081,27,east,4,28,21.8,2.98,normal,central,1,20.2,2,55.0,0.4,0,1,1,spruce,177,normal,simple_stand,5,0,6.0,0,low,1.49,1,13.1,0
apt_train_000082,27,north,12,2,72.1,2.72,normal,central,1,18.7,5,47.0,0.77,0,0,0,pine,150,normal,bucket,4,0,1.0,0,medium,5.09,1,2.3,1
apt_train_000083,27,west,5,1,67.7,2.73,old,central,0,23.5,1,36.0,2.85,1,1,0,spruce,155,normal,simple_stand,8,0,3.0,1,medium,0.88,0,4.3,0
apt_train_000084,27,north,8,14,70.2,2.7,old,central,0,20.3,2,31.0,1.07,1,0,0,spruce,147,normal,unknown,10,0,7.0,0,low,2.14,1,8.0,0
apt_train_000085,27,west,3,5,25.0,2.54,normal,central,1,22.6,1,47.0,0.72,0,0,0,spruce,196,normal,bucket,6,0,3.0,0,high,,1,7.4,0
apt_train_000086,27,north,7,5,51.1,2.58,normal,central,0,24.4,3,33.0,1.39,0,0,0,spruce,154,normal,bucket,16,0,6.0,1,medium,1.49,1,11.6,0
apt_train_000087,27,west,8,10,65.9,2.62,normal,central,0,24.6,3,36.0,,0,0,0,fir,97,normal,simple_stand,14,0,1.0,1,low,3.4,1,14.6,1
apt_train_000088,27,north,5,27,68.6,2.69,new,central,0,18.8,1,30.0,0.24,1,0,0,fir,141,dense,simple_stand,15,0,3.0,0,low,1.1,1,4.5,0
apt_train_000089,27,south,2,11,40.5,3.02,old,central,0,23.6,2,38.0,3.5,0,0,0,fir,168,dense,simple_stand,8,0,1.0,1,high,1.99,0,2.6,1
apt_train_000090,27,south,9,20,48.0,2.77,normal,central,1,23.5,2,45.0,,0,0,0,fir,229,normal,water_reservoir,9,0,7.0,1,low,,1,8.8,0
apt_train_000091,27,east,3,17,58.6,2.62,old,central,1,20.3,2,42.0,1.17,0,0,0,spruce,229,normal,simple_stand,9,0,1.0,1,medium,1.49,0,14.0,1
apt_train_000092,27,north,5,15,49.5,2.64,normal,central,0,22.6,0,45.0,1.68,0,1,1,fir,134,dense,simple_stand,10,0,3.0,1,high,4.97,1,8.3,1
apt_train_000093,27,south,2,11,54.9,2.63,new,central,0,25.1,0,37.0,1.26,4,0,1,pine,226,sparse,simple_stand,12,0,3.0,0,medium,2.57,1,2.1,1
apt_train_000094,27,north,10,9,91.9,2.77,normal,central,0,22.8,0,48.0,1.63,1,0,0,spruce,158,normal,water_reservoir,5,1,,0,low,2.67,0,9.2,1
apt_train_000095,27,south,6,15,40.3,2.56,old,central,1,22.4,2,38.0,1.64,0,1,0,spruce,173,dense,simple_stand,12,0,0.0,1,low,3.86,1,8.2,1
apt_train_000096,27,south,2,17,18.0,2.84,normal,central,1,26.3,1,,1.06,1,0,0,fir,108,dense,simple_stand,6,0,1.0,1,medium,1.02,1,2.6,0
apt_train_000097,27,north,11,9,81.6,2.83,old,central,0,22.2,2,33.0,1.28,0,0,0,fir,162,sparse,simple_stand,16,0,8.0,0,high,3.54,1,3.2,0
apt_train_000098,27,east,1,13,36.1,2.65,normal,central,0,22.3,3,24.0,1.08,0,0,1,fir,207,sparse,bucket,9,0,3.0,1,low,1.79,1,,1
apt_train_000099,27,south,3,6,45.5,2.59,old,central,1,20.5,4,46.0,2.6,0,0,0,spruce,138,dense,water_reservoir,2,1,3.0,1,medium,1.4,0,0.4,1
apt_train_000100,27,east,11,18,42.5,2.66,new,central,0,22.6,1,51.0,1.33,0,0,0,spruce,175,dense,simple_stand,3,0,6.0,1,low,1.56,1,3.6,1
apt_train_000101,27,east,5,5,47.1,2.71,new,central,0,23.1,0,45.0,1.1,2,0,0,pine,209,normal,bucket,18,0,4.0,0,medium,3.07,0,7.9,0
apt_train_000102,27,south,5,3,64.4,2.7,old,central,0,22.2,2,53.0,2.14,0,0,0,spruce,186,normal,bucket,8,0,7.0,0,low,1.86,1,2.2,0
apt_train_000103,27,west,1,9,27.7,2.71,normal,central,1,21.7,3,44.0,0.95,1,0,0,fir,157,sparse,simple_stand,17,0,6.0,1,low,1.7,1,10.0,0
apt_train_000104,27,east,12,30,101.9,,new,central,1,24.9,2,27.0,1.02,0,0,0,spruce,197,normal,bucket,10,0,5.0,1,low,2.82,1,7.4,1
apt_train_000105,27,west,7,11,43.5,2.56,new,central,0,24.1,1,34.0,1.63,0,0,0,spruce,138,sparse,simple_stand,8,0,2.0,1,high,1.61,1,11.7,1
apt_train_000106,27,south,10,10,52.9,2.6,normal,central,0,24.3,4,40.0,0.7,0,1,0,pine,223,dense,water_reservoir,13,0,7.0,0,high,3.9,1,7.6,0
apt_train_000107,27,east,5,24,70.2,2.81,old,central,0,23.1,3,42.0,0.93,0,1,1,spruce,131,sparse,simple_stand,9,0,2.0,1,medium,2.54,1,6.6,0
apt_train_000108,27,north,8,29,68.3,2.73,old,central,0,21.7,1,31.0,0.49,1,0,1,spruce,223,dense,simple_stand,11,0,0.0,1,medium,0.86,0,1.4,1
apt_train_000109,27,west,1,5,19.9,2.97,normal,central,1,22.7,1,37.0,0.73,1,0,0,spruce,187,dense,bucket,9,0,,1,medium,3.52,1,6.8,0
apt_train_000110,27,north,10,28,83.7,2.87,old,central,0,20.0,2,38.0,1.24,0,0,0,fir,200,normal,water_reservoir,2,1,6.0,0,high,2.27,1,0.0,0
apt_train_000111,27,south,3,25,37.8,2.72,new,central,1,20.8,2,27.0,2.42,1,1,0,pine,91,dense,simple_stand,6,0,2.0,1,low,2.17,1,17.6,0
apt_train_000112,27,north,11,21,70.5,2.71,new,central,0,22.8,2,35.0,0.67,0,0,0,spruce,157,normal,simple_stand,8,0,4.0,1,medium,2.6,1,3.4,0
apt_train_000113,27,south,12,9,66.9,2.46,normal,central,1,21.9,5,39.0,2.02,1,1,0,fir,227,normal,simple_stand,10,0,0.0,0,medium,1.86,0,0.7,0
apt_train_000114,27,west,1,28,50.6,2.63,normal,central,0,23.2,0,30.0,0.29,0,0,1,fir,183,dense,unknown,3,0,5.0,0,low,1.32,1,4.8,1
apt_train_000115,27,east,2,7,54.6,2.68,old,central,0,21.5,2,55.0,1.81,1,0,0,fir,165,normal,water_reservoir,9,0,5.0,0,medium,0.0,1,8.9,1
apt_train_000116,27,north,9,1,54.6,2.59,old,central,1,24.1,4,32.0,0.23,1,1,0,fir,245,normal,bucket,16,0,4.0,0,low,1.7,1,11.5,0
apt_train_000117,27,south,12,20,69.6,2.72,new,electric_heater,1,23.8,3,27.0,1.73,1,0,0,fir,177,sparse,simple_stand,5,0,2.0,0,medium,2.06,1,4.2,1
apt_train_000118,27,south,11,9,65.4,2.66,normal,central,0,21.5,0,36.0,1.19,2,0,0,fir,130,normal,water_reservoir,9,0,8.0,1,medium,1.25,1,12.3,0
apt_train_000119,27,east,2,28,77.2,2.54,old,central,0,26.8,2,27.0,,1,1,0,spruce,131,normal,bucket,3,0,9.0,0,high,2.93,1,8.7,0
apt_train_000120,27,south,12,15,18.0,2.72,normal,electric_heater,1,23.6,2,34.0,0.7,0,0,1,spruce,150,dense,simple_stand,14,0,4.0,0,medium,1.42,1,11.6,0
apt_train_000121,27,east,7,4,69.3,2.77,normal,central,0,22.8,2,46.0,1.65,0,0,0,fir,169,normal,simple_stand,2,0,3.0,1,medium,2.1,1,13.1,1
apt_train_000122,27,west,12,1,50.6,2.85,normal,electric_heater,1,21.9,1,40.0,0.86,0,1,0,spruce,123,dense,simple_stand,11,0,4.0,0,medium,3.25,1,12.5,0
apt_train_000123,27,east,7,16,69.4,2.67,normal,central,0,21.7,1,22.0,1.85,0,1,0,spruce,129,normal,water_reservoir,2,1,6.0,0,high,,1,0.1,1
apt_train_000124,27,south,1,26,33.5,2.6,old,electric_heater,1,25.7,3,54.0,0.44,0,1,0,pine,179,sparse,simple_stand,14,0,,0,medium,0.58,1,9.5,0
apt_train_000125,27,south,10,10,56.9,2.82,new,central,0,22.3,3,44.0,2.04,2,0,0,fir,209,normal,simple_stand,12,0,4.0,0,medium,1.45,1,16.1,0
apt_train_000126,27,south,2,20,35.9,2.79,normal,central,0,21.7,2,30.0,0.15,0,1,0,fir,206,normal,bucket,3,0,3.0,0,high,3.77,1,3.8,0
apt_train_000127,27,north,2,15,61.1,2.63,old,central,0,20.2,1,41.0,1.08,0,1,0,fir,187,dense,water_reservoir,7,0,10.0,0,medium,4.7,1,6.8,1
apt_train_000128,27,north,5,7,26.4,2.75,old,central,1,24.7,3,39.0,1.64,0,0,0,spruce,226,dense,water_reservoir,0,1,5.0,0,low,0.78,1,0.0,1
apt_train_000129,27,south,8,13,56.5,2.62,normal,central,0,23.7,0,46.0,1.41,2,0,0,spruce,85,normal,simple_stand,13,0,5.0,0,low,1.06,0,6.9,0
apt_train_000130,27,south,1,16,50.5,2.48,old,electric_heater,0,23.5,3,44.0,0.72,2,0,0,spruce,156,normal,simple_stand,7,0,0.0,1,medium,1.65,0,11.2,0
apt_train_000131,27,south,6,19,58.6,2.68,normal,electric_heater,1,22.9,5,28.0,0.91,1,0,1,fir,154,dense,unknown,10,0,6.0,1,high,3.77,1,6.4,0
apt_train_000132,27,east,10,4,72.3,2.69,old,electric_heater,0,22.7,1,42.0,0.96,0,1,1,fir,205,dense,simple_stand,8,0,1.0,0,medium,4.02,1,3.4,1
apt_train_000133,27,west,2,6,71.2,2.49,normal,central,0,19.8,2,,1.58,0,0,0,spruce,137,normal,water_reservoir,0,1,7.0,0,medium,2.81,1,8.1,1
apt_train_000134,27,west,1,18,79.0,2.66,old,central,0,21.9,6,37.0,0.48,1,0,1,spruce,168,dense,water_reservoir,0,0,8.0,0,low,4.34,0,4.0,0
apt_train_000135,27,west,4,10,54.5,2.45,new,central,0,24.6,0,,1.16,1,1,0,spruce,105,normal,simple_stand,12,0,1.0,1,low,3.14,1,13.9,0
apt_train_000136,27,west,10,9,54.8,2.65,normal,electric_heater,0,24.8,1,50.0,0.56,1,0,0,pine,159,normal,simple_stand,3,0,2.0,0,medium,2.11,1,6.0,1
apt_train_000137,27,east,4,28,54.7,2.67,old,central,0,22.0,2,,0.15,0,0,0,spruce,188,normal,simple_stand,8,0,7.0,1,medium,2.15,0,7.4,0
apt_train_000138,27,west,5,9,54.6,2.78,old,electric_heater,0,25.3,2,40.0,3.5,0,0,1,spruce,160,normal,water_reservoir,7,0,10.0,0,high,1.52,1,8.4,1
apt_train_000139,27,east,4,10,18.0,2.53,old,central,1,22.3,3,46.0,0.15,2,0,0,spruce,189,normal,water_reservoir,4,0,5.0,1,high,1.06,0,16.3,1
apt_train_000140,27,east,1,8,44.6,2.85,normal,central,0,21.8,1,22.0,0.44,0,0,0,spruce,198,dense,bucket,12,0,6.0,0,medium,2.29,1,,0
apt_train_000141,27,north,10,3,52.9,2.72,normal,central,0,19.9,3,58.0,1.88,1,1,0,fir,152,normal,simple_stand,9,0,3.0,1,medium,2.86,1,2.9,1
apt_train_000142,27,south,6,2,31.3,2.62,old,central,1,21.5,3,51.0,2.73,0,1,0,fir,208,normal,unknown,8,0,4.0,0,medium,3.05,1,0.0,1
apt_train_000143,27,north,6,26,56.9,2.75,normal,central,1,24.2,3,30.0,0.83,1,1,0,fir,177,normal,simple_stand,9,0,3.0,0,low,2.59,1,0.0,0
apt_train_000144,27,north,7,23,58.1,2.91,normal,electric_heater,0,23.2,1,33.0,2.16,0,0,0,spruce,235,normal,bucket,11,0,,1,high,3.03,1,1.6,0
apt_train_000145,27,east,5,7,57.2,2.72,normal,central,0,22.5,1,,2.33,2,0,0,fir,177,dense,bucket,10,0,3.0,1,medium,3.01,1,3.4,1
apt_train_000146,27,west,2,11,37.5,2.7,new,central,0,23.4,0,46.0,0.51,0,0,0,fir,187,sparse,water_reservoir,7,0,7.0,0,high,3.52,1,8.9,0
apt_train_000147,27,south,2,26,74.7,2.66,new,central,0,25.0,3,28.0,3.27,0,0,0,fir,185,dense,simple_stand,7,0,2.0,0,medium,2.13,1,13.3,0
apt_train_000148,27,west,4,19,18.0,2.6,new,central,1,23.7,2,46.0,1.26,0,0,0,fir,202,normal,simple_stand,12,0,6.0,1,medium,3.61,0,11.4,1
apt_train_000149,27,east,11,14,82.1,2.72,normal,central,0,21.9,1,40.0,1.57,0,0,0,fir,174,sparse,simple_stand,7,0,1.0,0,medium,1.62,1,10.3,0
apt_train_000150,27,north,6,25,19.3,2.71,new,central,1,20.3,1,50.0,0.82,0,0,0,spruce,175,normal,water_reservoir,9,0,3.0,1,medium,2.11,0,9.1,0
apt_train_000151,27,west,12,10,49.5,2.74,normal,electric_heater,1,22.6,3,48.0,0.99,0,0,0,spruce,178,normal,bucket,5,0,2.0,1,medium,2.28,1,2.7,0
apt_train_000152,27,south,10,27,72.0,2.68,normal,central,0,23.9,3,36.0,1.26,1,0,0,spruce,165,normal,simple_stand,3,0,4.0,0,medium,2.59,0,15.7,1
